o_p_q_r_s_t_u_v_w_x_y_z_{_|_}_~_
PanelText_UI_Dungeous_Panel_Melt_Erosion_Text_C_Weekly_Content|特训奖励
PanelText_UI_Chapter_Panel_Spur_Text_C_Simple_Now_Content|普通
PanelText_UI_Awaker_Popup_Potential_Text_C_Material_Content|消耗材料
PanelText_UI_Team_Item_Awaker_List_Text_C_Lv_Dissolution_Content|Lv.
PanelText_UI_Battle_ShenHai_Switch_Text_C_Defense_Content|防御
PanelText_UI_Awaker_Item_Preview_Text_C_Preview_1_Content|返还预览
PanelText_UI_Common_Item_Hint_Text_C_Recommend_Content|今日推荐
PanelText_UI_Awaker_Popup_Potential_Text_C_Name_Content|灵知深化
PanelText_UI_Dungeons_Item_Level_Content_Text_C_Name_Content|重置
PanelText_UI_Team_Item_Awaker_List_Text_C_Help_Content|助战唤醒体
PanelText_UI_Awaker_Popup_Expired_Tip_Text_C_Title_Content|物品过期
PanelText_UI_Awaker_Item_Weapon_Refining_Text_C_Overlay_Content|返回预览
PanelText_UI_Awaker_Item_Info_Text_C_Potential_Content|灵知深化
PanelText_UI_Dungeous_Panel_Molten_Text_C_LineUp_Content|通关编队
PanelText_UI_Dungeous_Panel_Molten_Text_C_Monster_Content|怪物预览
PanelText_UI_Team_Panel_Main_Popup_Team_Text_C_AffixInfo_Content|队伍信息
PanelText_UI_Awaker_Popup_Potential_Text_C_Coin_Count_Content|需要
PanelText_UI_Battle_ShenHai_Switch_Text_C_Disable_2_Content|无法选择
PanelText_UI_Dungeons_Item_Common_Element_Text_C_Award_Content|奖励+100%
PanelText_UI_Awaker_Item_Weapon_Refining_Text_C_Blackpool_Content|返回预览
PanelText_UI_Battle_ShenHai_Switch_Text_C_Frantic_Content|疯狂
PanelText_UI_Dungeous_Popup_Team_Tip_Text_C_Title_Content|挑战队伍
PanelText_UI_Dungeons_Item_Level_Content_Text_C_Undone_Content|未完成挑战
PanelText_UI_Events_Panel_MagicStory_Text_C_Reward_Content|成就奖励
PanelText_UI_Events_Panel_MagicStory_Text_C_Own_Content|当前拥有
PanelText_UI_Bag_Item_Detail_Text_C_Time_Content|剩余有效时间
PanelText_UI_Events_Panel_MagicStory_Text_C_Record_Content|特遣记录
PanelText_UI_Events_Panel_MagicStory_Text_C_Topic_Content|故事的魔法
PanelText_UI_Awaker_Popup_Potential_Text_C_Title_Content|等级上限提升
PanelText_UI_Dungeous_Panel_Melt_Erosion_Text_C_Title_Content|融灾禁区
PanelText_UI_Event_Panel_Challenge_Text_C_Double_Content|双倍挑战
PanelText_UI_Chapter_Panel_Spur_Text_C_Nightmare_Now_Content|癫狂
PanelText_UI_Social_Item_Data_Overview_Left_Text_C_Total_1_Content|总计
PanelText_UI_Social_Item_Data_Overview_Left_Text_C_Total_2_Content|最高记录
PanelText_UI_Dungeous_Popup_Tips_New_Text_C_OneKey_Content|一键领取
PanelText_UI_Awaker_Popup_Preview_Tip_Text_C_Title_Content|返还预览
PanelText_UI_Awaker_Item_Preview_Text_C_Preview_2_Content|返还预览
PanelText_UI_Dungeous_Item_Ranking_Text_C_Null_Content|暂无编队
PanelText_UI_Awaker_Item_Preview_Text_C_Preview_3_Content|返还预览
PanelText_UI_Dungeous_Panel_Molten_Text_C_Special_Content|初始造物
PanelText_UI_Dungeous_Panel_Molten_Text_C_Integral_Content|通关特训值
PanelText_UI_Battle_ShenHai_Switch_Text_C_Activate_Content|当前指令
PanelText_UI_Events_Panel_MagicStory_Text_C_Challenge_Content|剧本迷思
PanelText_UI_Events_Panel_MagicStory_Text_C_Shop_Content|魔法剧本商店
PanelText_UI_Event_Panel_Challenge_Text_C_Creation_Content|关卡造物
PanelText_UI_Dungeous_Popup_Team_Tip_Text_C_NoTask_Content|暂无记录
PanelText_UI_Battle_ShenHai_Switch_Text_C_Title_Content|请选择触腕姿态
PanelText_UI_Battle_ShenHai_Switch_Text_C_Disable_1_Content|无法选择
PanelText_UI_Common_Item_WuPin_Type1_Text_C_Expired_Content|已过期
PanelText_UI_Dungeous_Popup_Team_Tip_Text_C_Difficulty_Content|重置
PanelText_UI_Chapter_Panel_Spur_Text_C_Difficulty_Now_Content|困难
Summon_14135_LongDesc1|【轮转之相】为常驻命轮唤醒，守密人可从中获取命轮。
Summon_14135_LongDesc2|<Title:【SSR物品】>
PanelText_UI_Pvp_Popup_Fail_Text_C_Failure_Content|Failure
PanelText_UI_Pvp_Popup_Fail_Text_Quantity_1_Content|10
PanelText_UI_Bag_Panel_Main_Text_AmountLine_Content|/
PanelText_UI_Pvp_Item_Dan_Text_C_Current_Content|当前段位
PanelText_UI_Pvp_Panel_Detail_Text_C_Decks_Content|牌组
PanelText_UI_Bag_Panel_Main_Text_AmountName_Content|数量
PanelText_UI_Pvp_Panel_Detail_Text_C_Effect_Content|效果
PanelText_UI_Pvp_Item_List_Text_C_Uid_Title_Content|UID :
PanelText_UI_Pvp_Popup_Fail_Text_C_Victory_Content|战斗失败
PanelText_UI_Pvp_Panel_Detail_Text_C_Role_Wins_Content|胜场
PanelText_UI_Pvp_Panel_Detail_Text_C_Maniac_Content|狂气
PanelText_UI_Pvp_Panel_Detail_Text_C_Wins_Content|胜场
PanelText_UI_Pvp_Popup_Fail_Text_C_Fail_Content|失败
Task_10757_Desc2|在调查事件「谨防恶犬」中共鸣6次
Task_10756_Desc2|在调查事件「谨防恶犬」中共鸣3次
Task_10761_Desc2|在调查事件「于无声处」中共鸣6次
Task_22388_Desc2|在调查事件「风暴之眼」中共鸣3次
Task_22390_Desc2|在调查事件「风暴之眼」中共鸣7次
Task_50033_Desc2|在调查事件「欲河」中共鸣6次
Task_50034_Desc2|在调查事件「欲河」中共鸣9次
Task_50039_Desc2|在调查事件「欲河」中共鸣11次
Task_10760_Desc2|在调查事件「于无声处」中共鸣3次
Task_10762_Desc2|在调查事件「于无声处」中共鸣8次
Task_50036_Desc2|在调查事件「欲河」中共鸣3次
Task_22391_Desc2|在调查事件「风暴之眼」中共鸣6次
Task_10684_Desc2|在调查事件「谨防恶犬」中共鸣8次
Task_120502_Desc2|在调查事件「乐园」中共鸣2次
Task_120520_Desc2|在调查事件「乐园」中共鸣7次
Task_97312_Desc2|在调查事件「餍飨」中共鸣4次
Task_67116_Desc2|在调查事件「长梦尽时」中共鸣3次
Task_74228_Desc2|在调查事件「重临雾都」中共鸣8次
Task_80295_Desc2|在调查事件「蜕变」中共鸣9次
Task_97310_Desc2|在调查事件「餍飨」中共鸣9次
Task_36142_Desc2|完成调查事件「倒错的群星」
Task_80296_Desc2|在调查事件「蜕变」中共鸣6次
Task_120506_Desc2|在调查事件「乐园」中共鸣6次
Task_11007_Desc2|完成调查事件「于无声处」
Task_22387_Desc2|完成调查事件「风暴之眼」
Task_97311_Desc2|在调查事件「餍飨」中共鸣2次
Task_62322_Desc2|完成调查事件「终末交响曲」
Task_74225_Desc2|完成调查事件「重临雾都」
Task_74227_Desc2|在调查事件「重临雾都」中共鸣6次
Task_80299_Desc2|在调查事件「蜕变」中共鸣11次
Task_120503_Desc2|完成调查事件「乐园」
Task_10918_Desc2|完成调查事件「谨防恶犬」
Task_97309_Desc2|在调查事件「餍飨」中共鸣6次
Task_120523_Desc2|在调查事件「乐园」中共鸣4次
Task_74226_Desc2|在调查事件「重临雾都」中共鸣3次
Task_67115_Desc2|完成调查事件「长梦尽时」
Task_80297_Desc2|在调查事件「蜕变」中共鸣3次
Task_10652_Desc2|完成调查事件「以蜡像之名」
PanelText_UI_Awaker_Item_Potency_Detail_Text_C_Lv_Content|Lv.
PanelText_UI_Team_Popup_Awaker_List_Text_C_Level_Content|Lv.
PanelText_GmPanel_Text_C_Battle_Test (1)_Content|战斗2.0
PanelText_GmPanel_Text_C_Battle_Test_Content|PvP匹配
Task_22390_Name2|无望回响Ⅲ
Task_50033_Name2|妄念回响Ⅱ
Task_50034_Name2|妄念回响Ⅲ
Task_97309_Name2|暴食回响Ⅲ
Task_97312_Name2|暴食回响Ⅱ
Task_97310_Name2|暴食回响Ⅳ
Task_120523_Name2|虚妄回响Ⅱ
Task_36141_Name2|渴求回响Ⅱ
Task_120520_Name2|虚妄回响Ⅳ
Task_120506_Name2|虚妄回响Ⅲ
Task_11007_Name2|妈妈，我不疼
Task_80296_Name2|衍变回响Ⅱ
Task_10652_Name2|蜡中的迷思
Task_10918_Name2|超越维度之眼
Task_62322_Name2|战斗，以铭记的名义
Task_67115_Name2|守望，至死方休
Task_10759_Name2|隐忍回响Ⅳ
Task_62331_Name2|坚韧回响Ⅳ
Task_74224_Name2|空无回响Ⅳ
Task_11029_Name2|苦痛回响Ⅳ
Task_50039_Name2|妄念回响Ⅳ
Task_22391_Name2|无望回响Ⅱ
Task_80295_Name2|衍变回响Ⅲ
Task_74227_Name2|空无回响Ⅱ
Task_10684_Name2|隐忍回响Ⅲ
Task_10757_Name2|隐忍回响Ⅱ
Task_10762_Name2|苦痛回响Ⅲ
Task_22392_Name2|无望回响Ⅳ
Task_62330_Name2|坚韧回响Ⅱ
Task_80299_Name2|衍变回响Ⅳ
Task_36145_Name2|渴求回响Ⅲ
Task_50037_Name2|圣树焚尽之时
Task_50037_Desc2|完成调查事件「欲河」
Task_10761_Name2|苦痛回响Ⅱ
Task_62325_Name2|坚韧回响Ⅲ
Task_10755_Name2|惊厥回响Ⅲ
Task_74228_Name2|空无回响Ⅲ
Task_10754_Name2|惊厥回响Ⅱ
Task_22388_Name2|无望回响
Task_10760_Name2|苦痛回响
Task_10753_Name2|惊厥回响
Task_10756_Name2|隐忍回响
Task_62323_Name2|坚韧回响
Task_74226_Name2|空无回响
Task_22387_Name2|迷失三角
Task_50036_Name2|妄念回响
Task_36143_Name2|渴求回响
Task_80297_Name2|衍变回响
Task_67116_Name2|穷极回响
Task_120502_Name2|虚妄回响
Task_97311_Name2|暴食回响
Task_36142_Name2|拒绝呼唤
Task_10381_Name2|潜藏的低语Ⅳ
Task_67113_Name2|潜藏的低语Ⅸ
Task_74225_Name2|勿要迷失于灰夜
Task_50035_Name2|潜藏的低语Ⅶ
Task_62326_Name2|潜藏的低语Ⅷ
Task_10371_Name2|潜藏的低语Ⅲ
Task_36359_Name2|潜藏的低语Ⅵ
Task_120503_Name2|乐园的坍塌
Task_10370_Name2|潜藏的低语Ⅱ
Task_80288_Desc2|完成调查事件「蜕变」
Task_22380_Name2|潜藏的低语Ⅴ
Task_80288_Name2|聆听宇宙的嗡鸣
Task_91359_Name2|骨与灵的共餐
Task_91359_Desc2|完成调查事件「餍飨」
Summon_14130_LongDesc2|<Title:【SSR物品】>
Summon_14131_LongDesc2|<Title:【SSR物品】>
Summon_14128_LongDesc2|<Title:【SSR物品】>
Summon_14129_LongDesc2|<Title:【SSR物品】>
Summon_14132_LongDesc2|<Title:【SSR物品】>
Summon_54156_LongDesc2|<Title:【SSR物品】>
Summon_77958_LongDesc1|【<SummonRed:绘魇狂心>】限时角色活动唤醒已开启。活动期间，守密人可从中唤醒限时活动UP角色<SummonRed:皮克曼>。
AwakerTalent_84132_TalentDesc_1|·奥瑞塔每有 1 点狂气回充等级，战斗开始时获得奥瑞塔攻击力 1% 的触腕伤害。
AwakerTalent_56174_TalentDesc_1|·法洛思每拥有 1% 伤害强效属性，「遗失的久远之城」造成的护盾就提高 0.4%。
AwakerTalent_54072_TalentDesc_1|·奥吉尔每拥有 1% 黑印掉落属性，「七艺，传承美德」获得的临时力量就提高 3%。
AwakerTalent_57336_TalentDesc_1|·萨尔瓦多每拥有 1% 黑印掉落属性，就使猩红熔炉上限提高 0.15% 最大生命。
AwakerTalent_98714_TalentDesc_1|·潘狄娅自身装备、命轮、密契每拥有 1％暴击率，造成的永久反击提高 0.2％。
AwakerTalent_49872_TalentDesc_1|·诺缔拉每拥有 1 点界域精通属性，「整装待发」造成的反击就提高 0.25%。
TipsType_PVETeamShareCodeSaveTips_Desc|是否确认保存该编队码对应的队伍配置？
TipsType_20009_Desc|刷新将会更新刻印和造物，唤醒体觉醒和出售指令卡的次数不会重置，是否确认？
TipsType_40006_Desc|打出指令卡需要消耗算力。回合结束时不会保留剩余算力，回合开始时使算力恢复至上限。
TipsType_20077_Desc|是否启动{s1}的研究？
TipsType_PassportHoistTips1_Desc|「每日试训」
TipsType_20075_Desc|是否启动{s1}研究？
TipsType_PassportHoistTips3_Desc|「相位对弈」
TipsType_10626_Desc|请在Steam中开启以下选项：
TipsType_20163_Desc|即将重置唤醒体的启灵状态，并返还相应消耗。
TipsType_20084_Desc|队伍平均等级低于关卡推荐等级，出场唤醒体的属性将受到削弱，是否依然选择调查？
TipsType_20118_Desc|即将重置唤醒体的启灵等级，并返还启灵消耗。
TipsType_20121_Desc|即将重置命轮的叠位状态，并返还所有叠位消耗。
TipsType_20055_Desc|重置后，当前关卡进度将会重置为0颗星，唤醒体出战记录同步清除，是否确认重置？
TipsType_20220_Desc|检测到当前没有使用WIFI，下载会消耗较多流量，是否确认下载？
TipsType_20123_Desc|完成挑战后，队伍中的唤醒体、命轮和钥令将无法在其他融灾禁区中上场，是否确认？
TipsType_20036_Desc|当前扫荡次数设定为{s1}，但挑战副本仅会消耗{s2}体力获得1次奖励，是否确认挑战？
TipsType_20200_Desc|申请试训代理将消耗 <Blue:「代理凭证」× 1>
TipsType_10920_Desc|在限时活动「相位逆转」中积累「魔法橡果」× {s1} 即可解锁，是否前往「相位逆转」？
TipsType_20023_Desc|本次升级溢出{s1}点经验（不返还），且角色达到等级上限后无法继续获得经验，是否继续？
TipsType_20076_Desc|是否启动{s1}的研究？
TrinketSuitEffect_18344_SuitEffectDesc_2|每场战斗的首个回合获得 1 点算力，首领战中，每4回合额外获得1点算力
AwakerTalent_78631_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78643_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78644_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78634_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_78631_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44862_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_46162_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44855_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44866_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44873_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44881_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_5|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44846_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44886_TalentDesc_1|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44880_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44859_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44859_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44853_TalentDesc_4|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44865_TalentDesc_8|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44865_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44865_TalentDesc_10|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44859_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44859_TalentDesc_3|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44859_TalentDesc_9|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_11|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44853_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44887_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_6|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44863_TalentDesc_12|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44853_TalentDesc_2|探索开始后，获得 [Arg1] 点狂气。
AwakerTalent_44853_TalentDesc_7|探索开始后，获得 [Arg1] 点狂气。
